"path","kind","bytes","sha256","lines","scope"
"C:\Users\Junior\.agent\skills\find-docs\SKILL.md","SKILL.md","7429","5BF22997630FD5518112AB855C55DDBA8653B7AEFE16E5EFAD70E38966927FCF","160","personal-project"
"C:\Users\Junior\.agents\skills\find-docs\SKILL.md","SKILL.md","7679","2CFC2B3AC1AC150EF084CAC53F899AD198A5BF332532A2C88EE83F00996529C2","162","personal-project"
"C:\Users\Junior\.agents\skills\orca-cli\SKILL.md","SKILL.md","3944","CDD5D9C8A95837A6CC24D68B150A117684AFE9BBB2D763DE2CC7FBA1DA1ED163","80","personal-project"
"C:\Users\Junior\.agents\skills\orchestration\SKILL.md","SKILL.md","4451","A7E3350F037698EBBCE36B2818D8383EC6E96C2A4825537CAAB39A83B4FB4B7F","86","personal-project"
"C:\Users\Junior\.antigravity\extensions\ms-python.vscode-python-envs-1.20.1-universal\.github\skills\cross-platform-paths\SKILL.md","SKILL.md","6009","27C203B940BA8427FFA77DE1D8B66C53248ADAA19D89E751900BAFFE22C8C458","205","vendor-source"
"C:\Users\Junior\.antigravity\extensions\ms-python.vscode-python-envs-1.20.1-universal\.github\skills\debug-failing-test\SKILL.md","SKILL.md","3121","8EC1C7753273771C8ABEA6E541C500401C1F111963EBA25618A87DD6206776C7","90","vendor-source"
"C:\Users\Junior\.antigravity\extensions\ms-python.vscode-python-envs-1.20.1-universal\.github\skills\generate-snapshot\SKILL.md","SKILL.md","4312","B0E4B3F7F8E71A38531BCFB59EB25D30D063E0CEF3B00016BC43CB303B188785","144","vendor-source"
"C:\Users\Junior\.antigravity\extensions\ms-python.vscode-python-envs-1.20.1-universal\.github\skills\python-manager-discovery\SKILL.md","SKILL.md","10685","7A8182A7307F1954A902B92A62A8334E67FF70309D0DB8ABDCDB5B5346C78C08","330","vendor-source"
"C:\Users\Junior\.antigravity\extensions\ms-python.vscode-python-envs-1.20.1-universal\.github\skills\run-e2e-tests\SKILL.md","SKILL.md","4648","0110B0FC0E728BEBB3F5E7E1CA40E7CFF8BC590643EA52F8F37BCC0FCFB4975F","126","vendor-source"
"C:\Users\Junior\.antigravity\extensions\ms-python.vscode-python-envs-1.20.1-universal\.github\skills\run-integration-tests\SKILL.md","SKILL.md","4302","BEC6D2552208F7EB5A0CF1F8C149E51386A1BF3A6CC6A82295169C7290F4E8D2","113","vendor-source"
"C:\Users\Junior\.antigravity\extensions\ms-python.vscode-python-envs-1.20.1-universal\.github\skills\run-pre-commit-checks\SKILL.md","SKILL.md","3604","131CB9F0CB1C8B25A048109936A2CF4A174E4D26FCBC1C531DA05B7BAA22A69A","133","vendor-source"
"C:\Users\Junior\.antigravity\extensions\ms-python.vscode-python-envs-1.20.1-universal\.github\skills\run-smoke-tests\SKILL.md","SKILL.md","4724","33F65A6FB965B7F8F1943760DC6003B46321AD9BC48700212662FDC32B975DFA","127","vendor-source"
"C:\Users\Junior\.antigravity\extensions\ms-python.vscode-python-envs-1.20.1-universal\.github\skills\settings-precedence\SKILL.md","SKILL.md","8702","8E9DFAFC57A6B26A60EDDB094EF6BC068DBD4EA5F946B1E2986AF7CF9EE42F1B","262","vendor-source"
"C:\Users\Junior\.bun\install\cache\@reduxjs\toolkit@2.12.0@@@1\skills\build-modern-redux-apps\modern-redux\SKILL.md","SKILL.md","7626","92CCADD334B31E97A3962D4E049EE19CCD4ECAAABE9246FA8C499BB47F4A1567","305","vendor-source"
"C:\Users\Junior\.bun\install\cache\@reduxjs\toolkit@2.12.0@@@1\skills\build-modern-redux-apps\redux-dataflow\SKILL.md","SKILL.md","6720","EF30B339F090D56B56DD31DB60B72522777B77B221D73B6965809DEF77432CAA","265","vendor-source"
"C:\Users\Junior\.bun\install\cache\@reduxjs\toolkit@2.12.0@@@1\skills\evolve-and-diagnose-redux-apps\debug-redux-toolkit-apps\SKILL.md","SKILL.md","6427","9A39FFA45DF60759661417051DDE2F7FD0B1CB7039071C4E155E903B9B3645DA","270","vendor-source"
"C:\Users\Junior\.bun\install\cache\@reduxjs\toolkit@2.12.0@@@1\skills\evolve-and-diagnose-redux-apps\migrate-to-modern-redux\SKILL.md","SKILL.md","5841","8C7504CED75E75A4CFC7BD91202968F31EC4CAB976608F9417026F4421ED643F","227","vendor-source"
"C:\Users\Junior\.bun\install\cache\@reduxjs\toolkit@2.12.0@@@1\skills\manage-server-data\adopt-rtk-query\SKILL.md","SKILL.md","9268","31559F085F528E474D7DCEAA19A843299E78F494A5060F2D14882147632A88C5","386","vendor-source"
"C:\Users\Junior\.bun\install\cache\@reduxjs\toolkit@2.12.0@@@1\skills\model-redux-state\build-slices-and-selectors\SKILL.md","SKILL.md","9151","D1DE9D58AF060503F48DE305BD4D8B5A694E36E719121C5267D7DA41D4314480","365","vendor-source"
"C:\Users\Junior\.bun\install\cache\@reduxjs\toolkit@2.12.0@@@1\skills\model-redux-state\design-state-ownership\SKILL.md","SKILL.md","7672","B6E0B4D7C401C5976FF87FD4EEABDAFD104F27CAF50F6A3EB5200745CF50F7AA","323","vendor-source"
"C:\Users\Junior\.bun\install\cache\@reduxjs\toolkit@2.12.0@@@1\skills\orchestrate-side-effects\handle-side-effects\SKILL.md","SKILL.md","6634","857824C045860B5FA9C8E7C3E75FCE1BA7D7AD4EDEB6EB2B9FB1C96A52D0ABC2","272","vendor-source"
"C:\Users\Junior\.bun\install\cache\@tanstack\devtools-event-client@0.4.3@@@1\skills\devtools-bidirectional\SKILL.md","SKILL.md","13986","E2A7DB665F88E08868BF65853F9CC2BB7C6CC176F1E526B8F936EC5CBD717204","473","vendor-source"
"C:\Users\Junior\.bun\install\cache\@tanstack\devtools-event-client@0.4.3@@@1\skills\devtools-event-client\SKILL.md","SKILL.md","10032","FB3B2DBF71637DB03FD52232E2F407545A6DDAC5437A2793F6EA014D5B7509E0","290","vendor-source"
"C:\Users\Junior\.bun\install\cache\@tanstack\devtools-event-client@0.4.3@@@1\skills\devtools-instrumentation\SKILL.md","SKILL.md","11429","F8FC2B7A4C063F36CA6A7B09A18DA1CB2E2AF09A3BC8E1D5DF4F9D9B2694F4A6","424","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\client@11.18.0@@@1\skills\client-setup\SKILL.md","SKILL.md","7840","3D915DBBD7F85DC351DF4039F1F42653EA40720E9C8D8E9C9E8443C9E6FA6382","318","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\client@11.18.0@@@1\skills\links\SKILL.md","SKILL.md","8023","4CA7F2DFB9C029C5F7F7C569B0662FBF918F6CBB05DEF388139347B46DA52A0A","302","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\client@11.18.0@@@1\skills\superjson\SKILL.md","SKILL.md","6117","969B7C7F0D5CF0D7773D7ED5A2FD17251B616B72D204C540009A5D35F056B7DB","274","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\server@11.18.0@@@1\skills\adapter-aws-lambda\SKILL.md","SKILL.md","5780","9BF49C9F2BF6F32FFC60CC0CE70907D656CEC5FB9DFE9C2025B673DA237B92F1","204","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\server@11.18.0@@@1\skills\adapter-express\SKILL.md","SKILL.md","4090","F388E63FD996AEE43CADB58EC1B2140992EFBE347A0C2F60A0539EF5687BA60D","177","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\server@11.18.0@@@1\skills\adapter-fastify\SKILL.md","SKILL.md","5446","0F20E259C62995948463285A43BF4492E91D32A1ED39666C058D8318ED167147","222","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\server@11.18.0@@@1\skills\adapter-fetch\SKILL.md","SKILL.md","5203","3DEFDB05A454EF58EE7230C8FD3F34B9026B38633F1A222CB19530175BE206FD","200","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\server@11.18.0@@@1\skills\adapter-standalone\SKILL.md","SKILL.md","4726","B8B067F34FE2C350CD35EE0F402BEF57D8309D31F68CA632F1FDEB0A7FE60EF9","199","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\server@11.18.0@@@1\skills\auth\SKILL.md","SKILL.md","8241","8DC19461429002892820BF83D18BB0AF20756B68C5AA0F74EC5631888B559F60","343","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\server@11.18.0@@@1\skills\caching\SKILL.md","SKILL.md","5377","8B4C0A25E37A0DE21D7F48BBA6A1174A5AA76197DB1A8C2ABAD8ADA1A4668DEC","206","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\server@11.18.0@@@1\skills\error-handling\SKILL.md","SKILL.md","6335","E2CFFC0F35BE9BDC804D745D8724006DF2ACA1B0D4E24ADFFD2C529D029002DE","254","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\server@11.18.0@@@1\skills\middlewares\SKILL.md","SKILL.md","5564","DA426A04F6B7FC3F05B18D149B75903456EE0415A0DD74542B4DD592945551C3","243","vendor-source"
"C:\Users\Junior\.bun\install\cache\@trpc\server@11.18.0@@@1\skills\non-json-content-types\SKILL.md","SKILL.md","6453","A9B9B9F400602D0F386FC62528877608ED4B90B9EF805D755FE0CBCD12B53790","266","vendor-source"
