"path","before","after","backup"
"C:\Users\Junior\.codex\plugins\cache\openai-curated\superpowers\11c74d6b\skills\using-superpowers\SKILL.md","8052A1248970AEE7DDD272BF27E9873AEC08177D5065B75BA8C53D9B68D89D5F","C09495801FCFF7FE61794B4AF2D849E11133EC4540589E66DD2F3942FE952A5B","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\8052A1248970AEE7DDD272BF27E9873AEC08177D5065B75BA8C53D9B68D89D5F.txt"
"C:\Users\Junior\.codex\plugins\cache\openai-curated\superpowers\11c74d6b\skills\writing-plans\SKILL.md","CD8550405FC7FD224489F0B993FCE822F69626FC0C612B3C9829D991CB4314C6","8569EE16F2F3731129F5298B9354FEABEBE3BDF80F437006170A5E40FB66A847","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\CD8550405FC7FD224489F0B993FCE822F69626FC0C612B3C9829D991CB4314C6.txt"
"C:\Users\Junior\.codex\superpowers\skills\using-superpowers\SKILL.md","316E29381219ADF0CAC62190C67AEABF427D6E6E5F2735541D502B3D339BE7AA","C09495801FCFF7FE61794B4AF2D849E11133EC4540589E66DD2F3942FE952A5B","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\316E29381219ADF0CAC62190C67AEABF427D6E6E5F2735541D502B3D339BE7AA.txt"
"C:\Users\Junior\.codex\superpowers\skills\writing-plans\SKILL.md","90056BAD3D5F196FA7C9FEC0FFE592E6D9C86BC983E406642A51D1A4198B7024","8569EE16F2F3731129F5298B9354FEABEBE3BDF80F437006170A5E40FB66A847","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\90056BAD3D5F196FA7C9FEC0FFE592E6D9C86BC983E406642A51D1A4198B7024.txt"
"C:\Users\Junior\.config\superpowers\worktrees\hub\certificate-preview-font-parity\AGENTS.md","AC2DBCE16BBD4CD8635A5195A7DA06E46B10A9DA301700591FEE73F85ABD7614","01F1AC4AE9CC647584BEE3C95EEB8B8677FAF0DDA024115F59B8E04A942CD0A6","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\AC2DBCE16BBD4CD8635A5195A7DA06E46B10A9DA301700591FEE73F85ABD7614.txt"
"C:\Users\Junior\.config\superpowers\worktrees\hub\codex-module-content-release-hardening\AGENTS.md","AC2DBCE16BBD4CD8635A5195A7DA06E46B10A9DA301700591FEE73F85ABD7614","01F1AC4AE9CC647584BEE3C95EEB8B8677FAF0DDA024115F59B8E04A942CD0A6","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\AC2DBCE16BBD4CD8635A5195A7DA06E46B10A9DA301700591FEE73F85ABD7614.txt"
"C:\Users\Junior\.config\superpowers\worktrees\hub\codex-module-content-release\AGENTS.md","B6609DB1F16395533287A538EF3AD4C5F4FFC7ACF1CD301272180C90B477EE27","387A6DAB4BEF575A9D61663B8CE4F509C98E6761429019C4E00CF3417DFCD128","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\B6609DB1F16395533287A538EF3AD4C5F4FFC7ACF1CD301272180C90B477EE27.txt"
"C:\Users\Junior\.config\superpowers\worktrees\hub\fix-lesson-resource-upload-resilience\AGENTS.md","B6609DB1F16395533287A538EF3AD4C5F4FFC7ACF1CD301272180C90B477EE27","387A6DAB4BEF575A9D61663B8CE4F509C98E6761429019C4E00CF3417DFCD128","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\B6609DB1F16395533287A538EF3AD4C5F4FFC7ACF1CD301272180C90B477EE27.txt"
"C:\Users\Junior\.config\superpowers\worktrees\hub\fix-lesson-resource-upload-staging\AGENTS.md","B6609DB1F16395533287A538EF3AD4C5F4FFC7ACF1CD301272180C90B477EE27","387A6DAB4BEF575A9D61663B8CE4F509C98E6761429019C4E00CF3417DFCD128","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\B6609DB1F16395533287A538EF3AD4C5F4FFC7ACF1CD301272180C90B477EE27.txt"
"C:\Users\Junior\.config\superpowers\worktrees\hub\refine-locked-content-ui\AGENTS.md","AC2DBCE16BBD4CD8635A5195A7DA06E46B10A9DA301700591FEE73F85ABD7614","01F1AC4AE9CC647584BEE3C95EEB8B8677FAF0DDA024115F59B8E04A942CD0A6","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\AC2DBCE16BBD4CD8635A5195A7DA06E46B10A9DA301700591FEE73F85ABD7614.txt"
"C:\Users\Junior\.config\superpowers\worktrees\hub\remove-purchase-schedule-handoff\AGENTS.md","AC2DBCE16BBD4CD8635A5195A7DA06E46B10A9DA301700591FEE73F85ABD7614","01F1AC4AE9CC647584BEE3C95EEB8B8677FAF0DDA024115F59B8E04A942CD0A6","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\AC2DBCE16BBD4CD8635A5195A7DA06E46B10A9DA301700591FEE73F85ABD7614.txt"
"C:\Users\Junior\.config\superpowers\worktrees\hub\simplify-release-flow\AGENTS.md","B6609DB1F16395533287A538EF3AD4C5F4FFC7ACF1CD301272180C90B477EE27","387A6DAB4BEF575A9D61663B8CE4F509C98E6761429019C4E00CF3417DFCD128","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\B6609DB1F16395533287A538EF3AD4C5F4FFC7ACF1CD301272180C90B477EE27.txt"
"C:\Users\Junior\.zcode\cli\plugins\cache\claude-plugins-official\superpowers\6.3.0\skills\using-superpowers\SKILL.md","30F2AB78E20DDC27EE7158AE8D4A2ABE161C360981C7CC3548070913142D3DC3","C09495801FCFF7FE61794B4AF2D849E11133EC4540589E66DD2F3942FE952A5B","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\30F2AB78E20DDC27EE7158AE8D4A2ABE161C360981C7CC3548070913142D3DC3.txt"
"C:\Users\Junior\.zcode\cli\plugins\cache\claude-plugins-official\superpowers\6.3.0\skills\writing-plans\SKILL.md","48508F44BBFD7D24B029FBF3A314F3CD14C9615599059366E922F47B8DC08CF2","8569EE16F2F3731129F5298B9354FEABEBE3BDF80F437006170A5E40FB66A847","C:\Users\Junior\.codex\instruction-remediation\2026-09-06\48508F44BBFD7D24B029FBF3A314F3CD14C9615599059366E922F47B8DC08CF2.txt"
